family_id,derivational_base,base_POS
1,aër,noun
2,aipgitir,noun
3,apstanait,noun
4,ad·gládathar,verb
5,ad·cobra,verb
6,ad·comla,verb
7,adaig,noun
8,adaltras,noun
9,adbar,noun
10,ad·anaig,verb
11,adraid,verb
12,éitiud,noun
13,aicned,noun
14,ad·ágathar,verb
15,ail,noun
16,áil,noun
17,aille,noun
18,aimmser,noun
19,enech,noun
20,aiṅgel,noun
21,ainmm,noun
22,ainmne,noun
23,ad·nessa,verb
24,ar·beir,verb
25,airchinnech,noun
26,ar·ceissi,verb
27,aircor,noun
28,airde,noun
29,ar·icc,verb
30,airechas,noun
31,ar·gaire,verb
32,ar·foím,verb
33,ar·léici,verb
34,airmm,noun
35,ar·moinethar,verb
36,aís,noun
37,áes,noun
38,as·indet,verb
39,ad·fen,verb
40,ad·gnin,verb
41,ad·eirrig,verb
42,aithis,noun
43,almmsan,noun
44,altóir,noun
45,ailid,verb
46,amaires,noun
47,anaid,verb
48,ánae,noun
49,anaimm,noun
50,carae,noun
51,an-,prefix
52,ecnae,noun
53,cride,noun
54,ro·fitir,verb
55,apstal,noun
56,ad·bath,verb
57,airigidir,verb
58,ad·roilli,verb
59,armm,noun
60,ad·cosnai,verb
61,ad·slig,verb
62,ad·suidi,verb
63,athach,noun
64,athair,noun
65,ad·treba,verb
66,ad·tluichethar,verb
67,áugtordás,noun
68,airlatu,noun
69,baë,noun
70,bág,noun
71,bairgen,noun
72,baithes,noun
73,ball,noun
74,baïd,verb
75,benaid,verb
76,bél,noun
77,bélrae,noun
78,ben,noun
79,bendacht,noun
80,béo,noun
81,bés,noun
82,bethu,noun
83,biäd,noun
84,bibdu,noun
85,bith,noun
86,biuth,noun
87,bolad,noun
88,bráth,noun
89,bráthair,noun
90,bríathar,noun
91,bríg,noun
92,beirid,verb
93,brón,noun
94,búaid,noun
95,buide,noun
96,buinne,noun
97,attá,verb
98,bunad,noun
99,borbb,adjective
100,caín,adjective
101,con·ric,verb
102,do·futhraccair,verb
103,gniïd,verb
104,scél,noun
105,caindléoir,noun
106,caiṅgen,noun
107,carcar,noun
108,cath,noun
109,cathair,noun
110,céile,noun
111,ceist,noun
113,ceinél,noun
115,cenn,noun
116,cennsae,noun
117,cerdd,noun
118,césaid,verb
119,cét,noun
120,ceta,prefix
121,cethair,numeral
122,cíall,noun
123,cimbid,noun
124,ciun,noun
125,claideb,noun
126,cland,noun
127,ceilid,verb
128,clóen,adjective
129,cobodlus,noun
130,cobuir,noun
131,coicéilsine,noun
132,cubus,noun
133,coibdelach,noun
134,coibse,noun
135,con·midethar,verb
136,col,noun
137,colainn,noun
138,comairbert,noun
139,comairle,noun
140,con·éitet,verb
141,comalnaithir,verb
142,comarbbas,noun
143,comardae,noun
144,con·eim,verb
145,con·oí,verb
146,moín,noun
147,comnesam,noun
148,comrorggon,noun
149,do·inóla,verb
150,condairggile,noun
151,cuntubart,noun
152,fo·ceird,verb
153,cuirethar,verb
154,córae,noun
155,Corainte,noun
156,corp,noun
157,con·secha,verb
158,con·scara,verb
159,cosmuilius,noun
160,con·sní,verb
161,cos,noun
162,con·tuili,verb
163,crábud,noun
164,creitid,verb
165,croch,noun
166,crott,noun
167,cruth,noun
168,cúairt,noun
169,con·rig,verb
170,con·dírig,verb
171,con·dieig,verb
172,cuit,noun
173,cúl,noun
174,con·icc,verb
175,cummae,noun
176,con·osna,verb
177,con·oscaigi,verb
178,con·utaing,verb
179,cúrsaigid,verb
180,cutrummus,noun
181,dag-,prefix
182,duine,noun
183,daltae,noun
184,dam,noun
185,dán,noun
186,deächt,noun
187,deäd,noun
188,di·tá,verb
189,dechor,noun
190,dá,numeral
191,do·éccai,verb
192,deimnigidir,verb
193,delb,noun
194,demun,noun
195,do·gní,verb
196,déoladacht,noun
197,do·roichoíni,verb
198,deiscipul,noun
199,día,noun
200,sercc,noun
201,deisimmrecht,noun
202,deithiden,noun
204,diäs,noun
205,diü,noun
206,díabul,noun
207,do·dona,verb
208,do·fich,verb
209,do·luigi,verb
210,do·sluindi,verb
211,do·meiccethar,verb
212,díoth,noun
213,do·eim,verb
214,díuitte,noun
215,dliged,noun
216,dlúm,noun
217,dodcad,noun
218,doguilse,noun
219,doíre,noun
220,domun,noun
221,druí,noun
222,du-,prefix
223,álaig,noun
224,dúil,noun
225,téit,verb
226,dúilchinne,noun
227,éicen,noun
228,eclais,noun
229,écndach,noun
230,écosc,noun
231,in·túaisi,verb
232,in·loing,verb
233,as·lena,verb
234,at·baill,verb
235,as·beir,verb
236,eipistil,noun
237,epscop,noun
238,ere,noun
239,eiritic,noun
240,as·oirc,verb
241,as·éirig,verb
242,ét,noun
243,etar·certa,verb
244,in·tuigethar,verb
245,etar·diben,verb
246,etar·scara,verb
247,etar·gnin,verb
248,étrad,noun
249,exceptaid,noun
250,fáilte,noun
251,fáith,noun
252,féichem,noun
253,fecht,noun
254,fedb,noun
255,felsub,noun
256,fer,noun
257,fergg,noun
258,fetarlaice,noun
259,fíach,noun
260,fíadnaise,noun
261,fíon,noun
262,fíor,adjective
263,fiurt,noun
264,flaith,noun
265,fled,noun
266,fo·saig,verb
267,fochunn,noun
268,fo·cren,verb
269,fo·ocair,verb
270,fo·daim,verb
271,fo·gní,verb
272,fogur,noun
273,fo·guid,verb
274,foilsigidir,verb
275,foirbthetu,noun
276,fo·sisedar,verb
277,folad,noun
278,for·fen,verb
279,forband,noun
280,foircenn,noun
281,for·cain,verb
282,for·gella,verb
283,for·moinethar,verb
284,for·congair,verb
285,foróil,noun
286,for·tét,verb
287,forus,noun
288,fris·cuirethar,verb
289,fris·gair,verb
290,fris·accai,verb
291,fris·oirc,verb
292,fúath,noun
293,fo·gella,verb
294,fuil,noun
295,fo·loing,verb
296,gaibid,verb
297,gairdde,noun
298,galar,noun
299,gáu,noun
300,gein,noun
